timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-03-12,384.6600,395.6500,381.4200,394.0600,373.3043,497580816,0.0000
2021-03-05,385.5900,390.9200,371.8800,383.6300,363.4237,640356985,0.0000
2021-02-26,387.0600,392.2300,378.2300,380.3600,360.3259,540478477,0.0000
2021-02-19,393.9600,394.1700,387.7400,390.0300,369.4866,245672988,0.0000
2021-02-12,389.2700,392.9000,387.5000,392.6400,371.9591,224377311,0.0000
2021-02-05,373.7200,388.4700,370.3760,387.7100,367.2888,286980796,0.0000
2021-01-29,383.6700,385.8500,368.2700,370.0700,350.5779,457381555,0.0000
2021-01-22,378.3400,384.9500,376.7500,382.8800,362.7132,213162102,0.0000
2021-01-15,377.8500,381.1300,373.7000,375.7000,355.9114,305069527,0.0000
2021-01-08,375.3100,381.4900,364.8200,381.2600,361.1785,425078734,0.0000
2020-12-31,371.7400,374.6600,370.8300,373.8800,354.1873,219589121,0.0000
2020-12-24,364.9700,378.4600,362.0300,369.0000,349.5643,217434462,0.0000
2020-12-18,368.6400,372.4600,364.4700,369.1800,349.7348,392369590,1.5800
2020-12-11,369.0200,371.0500,363.2600,366.3000,345.5277,280935407,0.0000
2020-12-04,362.8300,369.8500,359.1700,369.8500,348.8764,315941236,0.0000
2020-11-27,357.2800,364.1800,354.8650,363.6700,343.0469,198060573,0.0000
2020-11-20,360.9800,362.7800,354.1500,355.3300,335.1798,341596283,0.0000
2020-11-13,363.9700,364.3800,350.5100,358.1000,337.7927,447583265,0.0000
2020-11-06,330.2000,352.1900,327.2400,350.1600,330.3030,463334913,0.0000
2020-10-30,342.1300,342.9800,322.6000,326.5400,308.0225,495607791,0.0000
2020-10-23,348.6500,349.3300,340.6500,345.7800,326.1714,296595696,0.0000
2020-10-16,349.5900,354.0200,343.1300,347.2900,327.5958,361462322,0.0000
2020-10-09,336.0600,347.3500,334.3800,346.8500,327.1807,297612670,0.0000
2020-10-02,333.2200,338.7400,331.1900,333.8400,314.9085,398327201,0.0000
2020-09-25,325.7000,331.2000,319.8000,328.7300,310.0883,403925934,0.0000
2020-09-18,337.4900,343.0600,327.9700,330.6500,311.8994,398139085,1.3392
2020-09-11,336.7100,342.6400,331.0000,334.0600,313.8448,381177354,0.0000
2020-09-04,350.3500,358.7500,334.8700,342.5700,321.8399,477805953,0.0000
2020-08-28,342.1200,350.7200,339.4504,350.5800,329.3652,244465362,0.0000
2020-08-21,337.9400,339.7200,335.2200,339.4800,318.9369,238598608,0.0000
2020-08-14,335.0600,338.2800,332.0100,336.8400,316.4566,256785840,0.0000
2020-08-07,328.3200,334.8800,327.7300,334.5700,314.3240,238849912,0.0000
2020-07-31,321.6300,326.6300,319.6400,326.5200,306.7611,301314577,0.0000
2020-07-24,321.4300,327.2300,319.2460,320.8800,301.4624,320693046,0.0000
2020-07-17,320.1300,323.0400,312.0000,321.7200,302.2516,401117686,0.0000
2020-07-10,316.3700,317.8800,310.6800,317.5900,298.3715,338468794,0.0000
2020-07-02,301.4100,315.7000,298.9300,312.2300,293.3359,333726878,0.0000
2020-06-26,307.9900,314.5000,299.4200,300.0500,281.8929,490919328,0.0000
2020-06-19,298.0200,315.6400,296.7400,308.6400,289.9631,570398924,1.3662
2020-06-12,320.2200,323.4100,298.6000,304.2100,284.5416,647165283,0.0000
2020-06-05,303.6200,321.2700,303.0600,319.3400,298.6934,446855391,0.0000
2020-05-29,301.9300,306.8400,295.4600,304.3200,284.6445,401990665,0.0000
2020-05-22,293.0500,297.8700,291.9500,295.4400,276.3386,440877962,0.0000
2020-05-15,290.3400,294.2400,272.9900,286.2800,267.7709,549992076,0.0000
2020-05-08,280.7400,292.9500,279.1300,292.4400,273.5326,383876931,0.0000
2020-05-01,285.1200,294.8800,281.5200,282.7900,264.5065,546963684,0.0000
2020-04-24,282.6100,286.7900,272.0200,282.9700,264.6749,506655211,0.0000
2020-04-17,277.1400,287.3000,271.4100,286.6400,268.1076,641620261,0.0000
2020-04-09,257.8400,281.2000,248.1700,278.2000,260.2133,728498717,0.0000
2020-04-03,255.7000,263.3300,243.9000,248.1900,232.1435,864147042,0.0000
2020-03-27,228.1900,262.8000,218.2600,253.4200,237.0354,1334107144,0.0000
2020-03-20,241.1800,256.9000,228.0200,228.8000,214.0072,1512832294,1.4056
2020-03-13,275.3000,288.5200,247.6800,269.3200,250.3693,1551233497,0.0000
2020-03-06,298.2100,313.8400,290.2300,297.4600,276.5293,1125972614,0.0000
2020-02-28,323.1400,333.5600,285.5400,296.2600,275.4137,1238830271,0.0000
2020-02-21,336.5100,339.0800,332.5800,333.4800,310.0147,293330620,0.0000
2020-02-14,331.2300,338.1200,331.1900,337.6000,313.8448,257953060,0.0000
2020-02-07,323.3500,334.1900,323.2200,332.2000,308.8248,309558055,0.0000
2020-01-31,323.0300,328.6300,320.7300,321.7300,299.0915,389876253,0.0000
2020-01-24,330.9000,332.9500,327.3600,328.7700,305.6361,265623236,0.0000
2020-01-17,326.3900,332.1800,325.9200,331.9500,308.5924,331248745,0.0000
2020-01-10,320.4900,327.4600,320.3600,325.7100,302.7914,265686067,0.0000
2020-01-03,322.9500,324.8900,320.1500,322.4100,299.7237,243457887,0.0000
2019-12-27,321.5900,323.8000,320.9000,322.8600,300.1420,146628680,0.0000
2019-12-20,319.2200,321.9700,317.2500,320.7300,298.1619,426971078,1.5700
2019-12-13,314.4400,318.6700,312.8100,317.3200,293.5548,311812271,0.0000
2019-12-06,314.5900,315.3100,307.1300,314.8700,291.2883,289095811,0.0000
2019-11-29,311.9800,315.4800,311.9800,314.3100,290.7703,166974740,0.0000
2019-11-22,311.5300,312.6900,309.0600,310.9600,287.6712,295356140,0.0000
2019-11-15,307.4200,311.8400,307.2700,311.7900,288.4390,249318377,0.0000
2019-11-08,307.8500,309.6500,306.0600,308.9400,285.8024,252325836,0.0000
2019-11-01,302.9400,306.1900,301.7300,306.1400,283.2121,273945786,0.0000
2019-10-25,299.4200,302.2000,298.5000,301.6000,279.0122,204108233,0.0000
